acad_org,session,cf_term_id,cf_status,course_subject,course_number,section_number,course_title,cf_course_id,instructor_name,start_date,end_date,bb_course_id,cp_cycle_id
BUS-SPS,1,1249,Active,BUS,345,"1         ",Strategic Electronic Marketing,30051,"Weinstein,Kenneth S",2024-08-28,2024-12-21,SPS01_BUS_345_1249_30051,10
BUS-SPS,1,1249,Active,BUS,310,"1         ",Found Bus Statistics,15402,"Martinez,Gabriel X",2024-08-28,2024-12-21,SPS01_BUS_310_1249_15402,10
BUS-SPS,1,1249,Active,BUS,339,"1         ",Sustainability &Green Business,15653,"Sheridan,Michael J",2024-08-28,2024-12-21,SPS01_BUS_339_1249_15653,10
BUS-SPS,1,1249,Stop Enrl,BUS,200,"2         ",Introduction to Business,15657,"Romanitch,Jonah J",2024-08-28,2024-12-21,SPS01_BUS_200_1249_15657,10
BUS-SPS,1,1249,Active,BUS,305,"2         ",Accounting Fundamentals,15368,"Napolitano,Paul S",2024-08-28,2024-12-21,SPS01_BUS_305_1249_15368,10
BUS-SPS,1,1249,Active,BUS,305,"3         ",Accounting Fundamentals,15371,"Napolitano,Paul S",2024-08-28,2024-12-21,SPS01_BUS_305_1249_15371,10
BUS-SPS,1,1249,Active,BUS,335,"1         ",Operations Management,15376,"Romanitch,Jonah J",2024-08-28,2024-12-21,SPS01_BUS_335_1249_15376,10
BUS-SPS,1,1249,Active,BUS,210,"2         ",Business Mathematics,15587,"Shepard,Frank A.",2024-08-28,2024-12-21,SPS01_BUS_210_1249_15587,10
BUS-SPS,1,1249,Active,BUS,310,"2         ",Found Bus Statistics,15403,"Sterns,Anthony A",2024-08-28,2024-12-21,SPS01_BUS_310_1249_15403,10
BUS-SPS,1,1249,Active,BUS,320,"2         ",Principles of Management,15354,"Clanton,Tamica R",2024-08-28,2024-12-21,SPS01_BUS_320_1249_15354,10
BUS-SPS,1,1249,Active,BUS,320,"3         ",Principles of Management,15355,"Clanton,Tamica R",2024-08-28,2024-12-21,SPS01_BUS_320_1249_15355,10
BUS-SPS,1,1249,Stop Enrl,BUS,330,"2         ",Business Law I,15343,"Jacobs,Michael A",2024-08-28,2024-12-21,SPS01_BUS_330_1249_15343,10
BUS-SPS,1,1249,Stop Enrl,BUS,610,"2         ",Strat Mktg & Soc Resp Practice,15398,"Ronisky,Carlos D",2024-08-28,2024-12-21,SPS01_BUS_610_1249_15398,10
BUS-SPS,1,1249,Active,BUS,660,"1         ",Corp & Intnl Finance,15392,"Shepard,Frank A.",2024-08-28,2024-12-21,SPS01_BUS_660_1249_15392,10
BUS-SPS,1,1249,Active,MGMT,681,"1         ",Financial Management,15363,"Shepard,Frank A.",2024-08-28,2024-12-21,SPS01_MGMT_681_1249_15363,10
BUS-SPS,1,1249,Active,BUS,325,"3         ",Principles of M I S,15356,"Karanja,Erastus",2024-08-28,2024-12-21,SPS01_BUS_325_1249_15356,10
BUS-SPS,1,1249,Active,BUS,330,"1         ",Business Law I,15342,"Ayoung,Kimberly",2024-08-28,2024-12-21,SPS01_BUS_330_1249_15342,10
BUS-SPS,1,1249,Active,BUS,470,"1         ",Strategic Management,15705,"Sherman,Herbert",2024-08-28,2024-12-21,SPS01_BUS_470_1249_15705,10
BUS-SPS,1,1249,Active,BUS,470,"2         ",Strategic Management,15711,"Sherman,Herbert",2024-08-28,2024-12-21,SPS01_BUS_470_1249_15711,10
BUS-SPS,1,1249,Active,BUS,650,"1         ",Knowledge & Info Systems,15334,"Cerbone,Frank S",2024-08-28,2024-12-21,SPS01_BUS_650_1249_15334,10
BUS-SPS,1,1249,Active,CIS,101,"1         ",Cmptr Fundmntls & Applic,15323,"Figueroa,Sandra",2024-08-28,2024-12-21,SPS01_CIS_101_1249_15323,10
BUS-SPS,1,1249,Active,BUS,210,"3         ",Business Mathematics,15588,"Hauser,David I",2024-08-28,2024-12-21,SPS01_BUS_210_1249_15588,10
BUS-SPS,1,1249,Active,BUS,315,"1         ",Principles of Marketing,15336,"Whitney,Mary R",2024-08-28,2024-12-21,SPS01_BUS_315_1249_15336,10
BUS-SPS,1,1249,Active,BUS,315,"2         ",Principles of Marketing,15337,"Jackson,Sharne",2024-08-28,2024-12-21,SPS01_BUS_315_1249_15337,10
BUS-SPS,1,1249,Active,BUS,333,"2         ",Corporation Finance,15341,"Hauser,Jeffrey",2024-08-28,2024-12-21,SPS01_BUS_333_1249_15341,10
BUS-SPS,1,1249,Active,BUS,346,"1         ",Investments,15332,"Hauser,Jeffrey",2024-08-28,2024-12-21,SPS01_BUS_346_1249_15332,10
BUS-SPS,1,1249,Active,BUS,600,"1         ",Org Behavior & Leadership,15372,"Ridley,Linda L",2024-08-28,2024-12-21,SPS01_BUS_600_1249_15372,10
BUS-SPS,1,1249,Active,BUS,670,"1         ",Quantitative Decision-Making,15400,"Hauser,David I",2024-08-28,2024-12-21,SPS01_BUS_670_1249_15400,10
BUS-SPS,1,1249,Active,ECO,202,"1         ",Macroeconomics,15365,"Moussavi,Faime",2024-08-28,2024-12-21,SPS01_ECO_202_1249_15365,10
BUS-SPS,1,1249,Active,ECO,202,"2         ",Macroeconomics,15367,"Moussavi,Faime",2024-08-28,2024-12-21,SPS01_ECO_202_1249_15367,10
BUS-SPS,1,1249,Active,BUS,305,"1         ",Accounting Fundamentals,15370,"Mayer,Roger W",2024-08-28,2024-12-21,SPS01_BUS_305_1249_15370,10
BUS-SPS,1,1249,Active,BUS,325,"1         ",Principles of M I S,15358,"Izen,Curtis E",2024-08-28,2024-12-21,SPS01_BUS_325_1249_15358,10
BUS-SPS,1,1249,Active,BUS,325,"2         ",Principles of M I S,15357,"Izen,Curtis E",2024-08-28,2024-12-21,SPS01_BUS_325_1249_15357,10
BUS-SPS,1,1249,Active,BUS,336,"1         ",Special Topics in Business,30033,"Abbu,Haroon R",2024-08-28,2024-12-21,SPS01_BUS_336_1249_30033,10
BUS-SPS,1,1249,Active,BUS,410,"3         ",Research Methods for Business,15352,"Vadell,Jamiel",2024-08-28,2024-12-21,SPS01_BUS_410_1249_15352,10
BUS-SPS,1,1249,Active,BUS,605,"2         ",Leadership Development,15562,"Vadell,Jamiel",2024-08-28,2024-12-21,SPS01_BUS_605_1249_15562,10
BUS-SPS,1,1249,Active,BUS,680,"1         ",Econ For Bus Decisions,15327,"Queneau,Herve",2024-08-28,2024-12-21,SPS01_BUS_680_1249_15327,10
BUS-SPS,1,1249,Active,CIS,101,"2         ",Cmptr Fundmntls & Applic,15322,"Vaughn,Martha",2024-08-28,2024-12-21,SPS01_CIS_101_1249_15322,10
BUS-SPS,1,1249,Active,CIS,101,"3         ",Cmptr Fundmntls & Applic,15326,"Jones,William",2024-08-28,2024-12-21,SPS01_CIS_101_1249_15326,10
BUS-SPS,1,1249,Active,BUS,320,"1         ",Principles of Management,15353,"Irby,Derek C",2024-08-28,2024-12-21,SPS01_BUS_320_1249_15353,10
BUS-SPS,1,1249,Active,BUS,335,"2         ",Operations Management,15377,"Liu,Shuguang",2024-08-28,2024-12-21,SPS01_BUS_335_1249_15377,10
BUS-SPS,1,1249,Active,BUS,600,"2         ",Org Behavior & Leadership,15373,"Irby,Derek C",2024-08-28,2024-12-21,SPS01_BUS_600_1249_15373,10
BUS-SPS,1,1249,Active,BUS,697,"1         ",Global Strategic Management,15672,"Resnik,Jim W",2024-08-28,2024-12-21,SPS01_BUS_697_1249_15672,10
BUS-SPS,1,1249,Active,BUS,697,"2         ",Global Strategic Management,15671,"Resnik,Jim W",2024-08-28,2024-12-21,SPS01_BUS_697_1249_15671,10
BUS-SPS,1,1249,Active,BUS,321,"1         ",Human Resource Management,15626,"Neftci,Ulas",2024-08-28,2024-12-21,SPS01_BUS_321_1249_15626,10
BUS-SPS,1,1249,Active,BUS,331,"1         ",Global Business,15364,"Vakil,Arash",2024-08-28,2024-12-21,SPS01_BUS_331_1249_15364,10
BUS-SPS,1,1249,Active,BUS,333,"1         ",Corporation Finance,15340,"Foy,Joseph",2024-08-28,2024-12-21,SPS01_BUS_333_1249_15340,10
BUS-SPS,1,1249,Active,BUS,640,"1         ",Accounting for Bus Decisions,15404,"Foy,Joseph",2024-08-28,2024-12-21,SPS01_BUS_640_1249_15404,10
BUS-SPS,1,1249,Tentative,BUS,210,"4         ",Business Mathematics,15585,NULL,2024-08-28,2024-12-21,SPS01_BUS_210_1249_15585,10
COMM-SPS,1,1249,Active,CM,311,"1         ",Writing for Digital Media,15662,"Jacobs,Sarah Ruth Upton",2024-08-28,2024-12-21,SPS01_CM_311_1249_15662,10
COMM-SPS,1,1249,Active,CM,311,"2         ",Writing for Digital Media,15665,"Jacobs,Sarah Ruth Upton",2024-08-28,2024-12-21,SPS01_CM_311_1249_15665,10
COMM-SPS,1,1249,Active,CM,203,"3         ",Intro Communications & Media,29846,"Palladino,Andrew D.",2024-08-28,2024-12-21,SPS01_CM_203_1249_29846,10
COMM-SPS,1,1249,Active,CM,304,"1         ",The Mediated Globe,29857,"Gardener,Bradley S",2024-08-28,2024-12-21,SPS01_CM_304_1249_29857,10
COMM-SPS,1,1249,Active,CM,316,"1         ",Film History,15476,"McCormick,Casey J",2024-08-28,2024-12-21,SPS01_CM_316_1249_15476,10
COMM-SPS,1,1249,Active,CM,320,"1         ",Digital Storytelling,15436,"Garcia,Courtney E",2024-08-28,2024-12-21,SPS01_CM_320_1249_15436,10
COMM-SPS,1,1249,Active,CM,490,"1         ",Topics-Comm and Media,15543,"Garcia,Courtney E",2024-08-28,2024-12-21,SPS01_CM_490_1249_15543,10
COMM-SPS,1,1249,Active,CM,490,"3         ",Topics-Comm and Media,44513,"McCormick,Casey J",2024-08-28,2024-12-21,SPS01_CM_490_1249_44513,10
COMM-SPS,1,1249,Active,CM,499,"2         ",Communication & Media Capstone,15542,"Panzarella,Joseph",2024-08-28,2024-12-21,SPS01_CM_499_1249_15542,10
COMM-SPS,1,1249,Active,CM,310,"1         ",Visual Communication,15479,"Richardson,James",2024-08-28,2024-12-21,SPS01_CM_310_1249_15479,10
COMM-SPS,1,1249,Active,CM,312,"1         ",Social Media,15478,"Richardson,James",2024-08-28,2024-12-21,SPS01_CM_312_1249_15478,10
COMM-SPS,1,1249,Active,CM,302,"1         ",Web Design,15546,"Troshani,Jetmir",2024-08-28,2024-12-21,SPS01_CM_302_1249_15546,10
COMM-SPS,1,1249,Active,CM,301,"1         ",Mass Media Ethics,15547,"Breslin,John J",2024-08-28,2024-12-21,SPS01_CM_301_1249_15547,10
COMM-SPS,1,1249,Active,CM,306,"1         ",Studies in Mass Communication,15545,"Breslin,John J",2024-08-28,2024-12-21,SPS01_CM_306_1249_15545,10
COMM-SPS,1,1249,Active,CM,203,"1         ",Intro Communications & Media,15548,"Dunson,Janet",2024-08-28,2024-12-21,SPS01_CM_203_1249_15548,10
COMM-SPS,1,1249,Active,CM,203,"2         ",Intro Communications & Media,15549,"Dunson,Janet",2024-08-28,2024-12-21,SPS01_CM_203_1249_15549,10
COMM-SPS,1,1249,Active,CM,311,"3         ",Writing for Digital Media,29855,"Sossi,Dino D",2024-08-28,2024-12-21,SPS01_CM_311_1249_29855,10
COMM-SPS,1,1249,Active,CM,333,"1         ",Corporate Communication,15664,"Sossi,Dino D",2024-08-28,2024-12-21,SPS01_CM_333_1249_15664,10
COMM-SPS,1,1249,Active,CM,309,"1         ",Communication-Cultural Change,15544,"Hien,Nina M",2024-08-28,2024-12-21,SPS01_CM_309_1249_15544,10
COMM-SPS,1,1249,Active,CM,499,"1         ",Communication & Media Capstone,15540,"Hien,Nina M",2024-08-28,2024-12-21,SPS01_CM_499_1249_15540,10
COMM-SPS,1,1249,Cancelled,CM,312,"2         ",Social Media,15477,NULL,2024-08-28,2024-12-21,SPS01_CM_312_1249_15477,10
COMM-SPS,1,1249,Cancelled,CM,324,"1         ",Data Analytics & Visualization,15433,NULL,2024-08-28,2024-12-21,SPS01_CM_324_1249_15433,10
COMM-SPS,1,1249,Cancelled,CM,490,"2         ",Topics-Comm and Media,29856,NULL,2024-08-28,2024-12-21,SPS01_CM_490_1249_29856,10
COMM-SPS,1,1249,Stop Enrl,CM,499,"3         ",Communication & Media Capstone,15541,NULL,2024-08-28,2024-12-21,SPS01_CM_499_1249_15541,10
DATA-SPS,1,1249,Active,IS,210,"1         ",Software App Prog I,15622,"Guillen,Javier Alexis",2024-08-28,2024-12-21,SPS01_IS_210_1249_15622,10
DATA-SPS,1,1249,Active,DATA,624,"1         ",Predictive Analytics,15519,"Nieman,Jeffrey Scott",2024-08-28,2024-12-21,SPS01_DATA_624_1249_15519,10
DATA-SPS,1,1249,Active,DATA,624,"2         ",Predictive Analytics,53525,"Nieman,Jeffrey Scott",2024-08-28,2024-12-21,SPS01_DATA_624_1249_53525,10
DATA-SPS,1,1249,Active,IS,205,"2         ",IT Infrastructure and Support,15594,"Krahenbill,Clifton L",2024-08-28,2024-12-21,SPS01_IS_205_1249_15594,10
DATA-SPS,1,1249,Active,IS,380,"3         ",Geographic Information Systems,15598,"Adewunmi,Olubunmi F",2024-08-28,2024-12-21,SPS01_IS_380_1249_15598,10
DATA-SPS,1,1249,Active,DATA,602,"1         ",Adv Programming Techniques,15539,"Schettini,Nicholas",2024-08-28,2024-12-21,SPS01_DATA_602_1249_15539,10
DATA-SPS,1,1249,Active,DATA,602,"2         ",Adv Programming Techniques,15538,"Schettini,Nicholas",2024-08-28,2024-12-21,SPS01_DATA_602_1249_15538,10
DATA-SPS,1,1249,Active,IS,260,"1         ",Ntwks & Bus Data Comm,15620,"Rambarran,Jeremy A",2024-08-28,2024-12-21,SPS01_IS_260_1249_15620,10
DATA-SPS,1,1249,Active,IS,320,"3         ",Systems Analysis and Design,15616,"Rambarran,Jeremy A",2024-08-28,2024-12-21,SPS01_IS_320_1249_15616,10
DATA-SPS,1,1249,Active,IS,324,"1         ",Fdns and Apps of Blockchain,15406,"Kangas,Christopher",2024-08-28,2024-12-21,SPS01_IS_324_1249_15406,10
DATA-SPS,1,1249,Active,IS,324,"2         ",Fdns and Apps of Blockchain,48884,"Kangas,Christopher",2024-08-28,2024-12-21,SPS01_IS_324_1249_48884,10
DATA-SPS,1,1249,Active,IS,374,"1         ",Bus Desgn/Workflow,15602,"Driscoll,Michael W",2024-08-28,2024-12-21,SPS01_IS_374_1249_15602,10
DATA-SPS,1,1249,Active,IS,374,"2         ",Bus Desgn/Workflow,15603,"Driscoll,Michael W",2024-08-28,2024-12-21,SPS01_IS_374_1249_15603,10
DATA-SPS,1,1249,Active,IS,380,"1         ",Geographic Information Systems,15600,"Gardener,Bradley S",2024-08-28,2024-12-21,SPS01_IS_380_1249_15600,10
DATA-SPS,1,1249,Active,IS,380,"2         ",Geographic Information Systems,15599,"Gardener,Bradley S",2024-08-28,2024-12-21,SPS01_IS_380_1249_15599,10
DATA-SPS,1,1249,Active,DATA,605,"1         ",Computational Mathematics,15536,"Fulton,Lawrence V",2024-08-28,2024-12-21,SPS01_DATA_605_1249_15536,10
DATA-SPS,1,1249,Active,DATA,605,"2         ",Computational Mathematics,15535,"Fulton,Lawrence V",2024-08-28,2024-12-21,SPS01_DATA_605_1249_15535,10
DATA-SPS,1,1249,Active,DATA,608,"2         ",Knowledge and Visual Analytics,15528,"Fulton,Lawrence V",2024-08-28,2024-12-21,SPS01_DATA_608_1249_15528,10
DATA-SPS,1,1249,Active,DATA,621,"1         ",Data Mining,15521,"Edwards,Jeffrey L",2024-08-28,2024-12-21,SPS01_DATA_621_1249_15521,10
DATA-SPS,1,1249,Active,DATA,604,"1         ",Simulation and Modeling Tech,15537,"Jorge Pagan,Jose",2024-08-28,2024-12-21,SPS01_DATA_604_1249_15537,10
DATA-SPS,1,1249,Active,DATA,607,"1         ",Data Acquisition & Management,15530,"Catlin,Andrew G",2024-08-28,2024-12-21,SPS01_DATA_607_1249_15530,10
DATA-SPS,1,1249,Active,DATA,607,"2         ",Data Acquisition & Management,15531,"Kowalchuk,Peter",2024-08-28,2024-12-21,SPS01_DATA_607_1249_15531,10
DATA-SPS,1,1249,Active,DATA,608,"1         ",Knowledge and Visual Analytics,15527,"Kowalchuk,Peter",2024-08-28,2024-12-21,SPS01_DATA_608_1249_15527,10
DATA-SPS,1,1249,Active,DATA,698,"1         ",Master's Research Project,15524,"O'Connor,Arthur",2024-08-28,2024-12-21,SPS01_DATA_698_1249_15524,10
DATA-SPS,1,1249,Active,DATA,698,"2         ",Master's Research Project,15526,"Sheikh,Jamiel H",2024-08-28,2024-12-21,SPS01_DATA_698_1249_15526,10
DATA-SPS,1,1249,Active,DATA,698,"3         ",Master's Research Project,15525,"Khansari,Nasrin",2024-08-28,2024-12-21,SPS01_DATA_698_1249_15525,10
DATA-SPS,1,1249,Active,IS,200,"1         ",Foundations of Info Systems,15623,"Snead,Charles V",2024-08-28,2024-12-21,SPS01_IS_200_1249_15623,10
DATA-SPS,1,1249,Active,IS,200,"2         ",Foundations of Info Systems,15624,"Snead,Charles V",2024-08-28,2024-12-21,SPS01_IS_200_1249_15624,10
DATA-SPS,1,1249,Active,IS,200,"3         ",Foundations of Info Systems,17612,"Nardelli,Robert",2024-08-28,2024-12-21,SPS01_IS_200_1249_17612,10
DATA-SPS,1,1249,Active,IS,211,"1         ",Software App Prog II,15621,"Ledonwong,Alain",2024-08-28,2024-12-21,SPS01_IS_211_1249_15621,10
DATA-SPS,1,1249,Active,IS,250,"1         ",Computer and Network Security,15595,"Bouma Jr,John J",2024-08-28,2024-12-21,SPS01_IS_250_1249_15595,10
DATA-SPS,1,1249,Active,IS,250,"2         ",Computer and Network Security,15593,"Hernandez,Felix",2024-08-28,2024-12-21,SPS01_IS_250_1249_15593,10
DATA-SPS,1,1249,Active,IS,320,"2         ",Systems Analysis and Design,15617,"Thapaliya,Rajan",2024-08-28,2024-12-21,SPS01_IS_320_1249_15617,10
DATA-SPS,1,1249,Active,IS,330,"1         ",Logistics/Sup Chain Mgmt,15605,"Khansari,Nasrin",2024-08-28,2024-12-21,SPS01_IS_330_1249_15605,10
DATA-SPS,1,1249,Active,IS,330,"2         ",Logistics/Sup Chain Mgmt,15604,"Thapaliya,Rajan",2024-08-28,2024-12-21,SPS01_IS_330_1249_15604,10
DATA-SPS,1,1249,Active,IS,350,"2         ",I S Strat/Mgmt/Acquistn,15591,"Kowalchuk,Peter",2024-08-28,2024-12-21,SPS01_IS_350_1249_15591,10
DATA-SPS,1,1249,Active,IS,499,"1         ",Information  Systems Capstone,15611,"Mills,Patrick O",2024-08-28,2024-12-21,SPS01_IS_499_1249_15611,10
DATA-SPS,1,1249,Active,IS,499,"2         ",Information  Systems Capstone,15610,"Snead,Charles V",2024-08-28,2024-12-21,SPS01_IS_499_1249_15610,10
DATA-SPS,1,1249,Active,IS,499,"4         ",Information  Systems Capstone,15614,"Mills,Patrick O",2024-08-28,2024-12-21,SPS01_IS_499_1249_15614,10
DATA-SPS,1,1249,Active,DATA,622,"1         ",Machine Learning and Big Data,15518,"Sabelja,Joseph",2024-08-28,2024-12-21,SPS01_DATA_622_1249_15518,10
DATA-SPS,1,1249,Active,DATA,622,"2         ",Machine Learning and Big Data,15792,"Sabelja,Joseph",2024-08-28,2024-12-21,SPS01_DATA_622_1249_15792,10
DATA-SPS,1,1249,Active,IS,300,"2         ",Enterprise Arch/Apps,15619,"Green,Bobbie J",2024-08-28,2024-12-21,SPS01_IS_300_1249_15619,10
DATA-SPS,1,1249,Active,IS,374,"3         ",Bus Desgn/Workflow,15601,"Amarjit,Arya V",2024-08-28,2024-12-21,SPS01_IS_374_1249_15601,10
DATA-SPS,1,1249,Active,IS,350,"1         ",I S Strat/Mgmt/Acquistn,15592,"Alam,Iftekhar",2024-08-28,2024-12-21,SPS01_IS_350_1249_15592,10
DATA-SPS,1,1249,Active,IS,499,"3         ",Information  Systems Capstone,15613,"Alam,Iftekhar",2024-08-28,2024-12-21,SPS01_IS_499_1249_15613,10
DATA-SPS,1,1249,Active,DATA,606,"2         ",Statistics and Probability,15532,"Lui,Angela M",2024-08-28,2024-12-21,SPS01_DATA_606_1249_15532,10
DATA-SPS,1,1249,Active,IS,361,"1         ",Database Arch & Programming,15561,"Khan,Sabrina",2024-08-28,2024-12-21,SPS01_IS_361_1249_15561,10
DATA-SPS,1,1249,Active,DATA,606,"1         ",Statistics and Probability,15533,"Bryer,Jason",2024-08-28,2024-12-21,SPS01_DATA_606_1249_15533,10
DATA-SPS,1,1249,Active,IS,205,"1         ",IT Infrastructure and Support,15596,"Adams,Ejaz",2024-08-28,2024-12-21,SPS01_IS_205_1249_15596,10
DATA-SPS,1,1249,Active,IS,320,"1         ",Systems Analysis and Design,15618,"Adams,Ejaz",2024-08-28,2024-12-21,SPS01_IS_320_1249_15618,10
DATA-SPS,1,1249,Active,DATA,606,"3         ",Statistics and Probability,15534,NULL,2024-08-28,2024-12-21,SPS01_DATA_606_1249_15534,10
DATA-SPS,1,1249,Cancelled,DATA,606,"4         ",Statistics and Probability,53619,NULL,2024-08-28,2024-12-21,SPS01_DATA_606_1249_53619,10
DATA-SPS,1,1249,Active,DATA,607,"3         ",Data Acquisition & Management,15529,NULL,2024-08-28,2024-12-21,SPS01_DATA_607_1249_15529,10
DATA-SPS,1,1249,Cancelled,DATA,607,"4         ",Data Acquisition & Management,53620,NULL,2024-08-28,2024-12-21,SPS01_DATA_607_1249_53620,10
DATA-SPS,1,1249,Cancelled,DATA,618,"1         ",Quantitative Finance,15523,NULL,2024-08-28,2024-12-21,SPS01_DATA_618_1249_15523,10
DATA-SPS,1,1249,Tentative,DATA,621,"2         ",Data Mining,15522,NULL,2024-08-28,2024-12-21,SPS01_DATA_621_1249_15522,10
DATA-SPS,1,1249,Active,IS,320,"4         ",Systems Analysis and Design,15615,NULL,2024-08-28,2024-12-21,SPS01_IS_320_1249_15615,10
DATA-SPS,1,1249,Active,IS,326,"1         ",E-Commerce for I S,15607,NULL,2024-08-28,2024-12-21,SPS01_IS_326_1249_15607,10
DATA-SPS,1,1249,Active,IS,326,"2         ",E-Commerce for I S,15606,NULL,2024-08-28,2024-12-21,SPS01_IS_326_1249_15606,10
DATA-SPS,1,1249,Active,IS,362,"1         ",Data Acquisition and Mgmt,15504,NULL,2024-08-28,2024-12-21,SPS01_IS_362_1249_15504,10
DATA-SPS,1,1249,Active,IS,380,"4         ",Geographic Information Systems,15597,NULL,2024-08-28,2024-12-21,SPS01_IS_380_1249_15597,10
DATA-SPS,1,1249,Tentative,IS,499,"5         ",Information  Systems Capstone,15612,NULL,2024-08-28,2024-12-21,SPS01_IS_499_1249_15612,10
DATA-SPS,1,1249,Tentative,IS,499,"6         ",Information  Systems Capstone,15609,NULL,2024-08-28,2024-12-21,SPS01_IS_499_1249_15609,10
DATA-SPS,1,1249,Tentative,IS,499,"7         ",Information  Systems Capstone,15608,NULL,2024-08-28,2024-12-21,SPS01_IS_499_1249_15608,10
DSAB-SPS,1,1249,Active,DSAB,200,"1         ",Disability and Society,15793,"Luke,Leah Beth Samples",2024-08-28,2024-12-21,SPS01_DSAB_200_1249_15793,10
DSAB-SPS,1,1249,Active,DSAB,605,"1         ",Disability and Diversity,15811,"Beckwith,Ruthie-Marie",2024-08-28,2024-12-21,SPS01_DSAB_605_1249_15811,10
DSAB-SPS,1,1249,Active,DSSV,617,"1         ",Universal Design in Higher Edu,15820,"Burgstahler,Sheryl E.",2024-08-28,2024-12-21,SPS01_DSSV_617_1249_15820,10
DSAB-SPS,1,1249,Active,DSAB,213,"1         ",Transition and Adulthood,15798,"Gould,Margaret Jane",2024-08-28,2024-12-21,SPS01_DSAB_213_1249_15798,10
DSAB-SPS,1,1249,Active,DSAB,624,"1         ",Disab Srvcs Admin,15814,"Gould,Margaret Jane",2024-08-28,2024-12-21,SPS01_DSAB_624_1249_15814,10
DSAB-SPS,1,1249,Active,DSAB,626,"1         ",Disability Law and Policy,15815,"Belluscio,Maureen E",2024-08-28,2024-12-21,SPS01_DSAB_626_1249_15815,10
DSAB-SPS,1,1249,Active,DSAB,626,"2         ",Disability Law and Policy,53827,"Belluscio,Maureen E",2024-08-28,2024-12-21,SPS01_DSAB_626_1249_53827,10
DSAB-SPS,1,1249,Active,DSAB,201,"1         ",Disability and Embodiment,15794,"Nelb Sinecka,Jitka",2024-08-28,2024-12-21,SPS01_DSAB_201_1249_15794,10
DSAB-SPS,1,1249,Active,DSAB,233,"1         ",Behav Hlth Counslng,15801,"Harbus,Neil Stuart",2024-08-28,2024-12-21,SPS01_DSAB_233_1249_15801,10
DSAB-SPS,1,1249,Active,DSAB,322,"1         ",Tchng Strats & Behave Supports,15804,"Nelb Sinecka,Jitka",2024-08-28,2024-12-21,SPS01_DSAB_322_1249_15804,10
DSAB-SPS,1,1249,Active,DSAB,331,"1         ",Mntl/Bhvr/Dvlmntl Dis,15805,"Harbus,Neil Stuart",2024-08-28,2024-12-21,SPS01_DSAB_331_1249_15805,10
DSAB-SPS,1,1249,Active,DSAB,602,"2         ",Embodiment and Disability,51950,"Nelb Sinecka,Jitka",2024-08-28,2024-12-21,SPS01_DSAB_602_1249_51950,10
DSAB-SPS,1,1249,Active,DSSV,608,"1         ",Neurodiverse Students in Col,15821,"Leber,Jacqueline E",2024-08-28,2024-12-21,SPS01_DSSV_608_1249_15821,10
